position,color,type,Answer.condition,block_trial,trial,utterance_label,block,clicked,utterance,workerid,init_images,Answer.bonus,label,Answer.time_in_minutes,quantifier,percentage
1,blue,60_90_2,some,4,24,prior,3,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,90
2,orange,60_90_2,some,4,24,prior,3,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,60
1,blue,60_90_2,some,4,24,quantifier,3,0, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,90
2,orange,60_90_2,some,4,24,quantifier,3,1, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,60
1,blue,60_90_2,some,4,24,color,3,1, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,90
2,orange,60_90_2,some,4,24,color,3,0, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,60
1,orange,90_0_1,some,5,25,prior,3,0, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,most,90
2,blue,90_0_1,some,5,25,prior,3,1, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,most,0
1,orange,90_0_1,some,5,25,quantifier,3,1, The machine dispensed most of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,most,90
2,blue,90_0_1,some,5,25,quantifier,3,0, The machine dispensed most of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,most,0
1,orange,90_0_1,some,5,25,color,3,1, The machine dispensed most of the orange ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,most,90
2,blue,90_0_1,some,5,25,color,3,0, The machine dispensed most of the orange ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,most,0
1,blue,25_60_1,some,6,26,prior,3,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,25
2,orange,25_60_1,some,6,26,prior,3,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,60
1,blue,25_60_1,some,6,26,quantifier,3,0, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,25
2,orange,25_60_1,some,6,26,quantifier,3,1, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,60
1,blue,25_60_1,some,6,26,color,3,0, The machine dispensed some of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,25
2,orange,25_60_1,some,6,26,color,3,1, The machine dispensed some of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,60
1,blue,90_0_2,some,7,27,prior,3,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,none,0
2,orange,90_0_2,some,7,27,prior,3,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,none,90
1,blue,90_0_2,some,7,27,quantifier,3,1, The machine dispensed none of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,none,0
2,orange,90_0_2,some,7,27,quantifier,3,0, The machine dispensed none of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,none,90
1,blue,90_0_2,some,7,27,color,3,1, The machine dispensed none of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,none,0
2,orange,90_0_2,some,7,27,color,3,0, The machine dispensed none of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,none,90
1,blue,75_100_2,some,8,28,prior,3,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,all,100
2,orange,75_100_2,some,8,28,prior,3,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,all,75
1,blue,75_100_2,some,8,28,quantifier,3,1, The machine dispensed all of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,all,100
2,orange,75_100_2,some,8,28,quantifier,3,0, The machine dispensed all of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,all,75
